"site","OTU_Label","display_label","Class","abund_weight","substrate_label","group","consistency","n_higher","n_lower","n_sig","seasons_higher","seasons_lower","mean_estimate"
"TBS","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"PE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",3.91
"TBS","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"wPE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.81
"TBS","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"wPET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",3.66
"TBS","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"PE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.19
"TBS","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"wPE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",6.58
"TBS","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"wPET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.08
"TBS","Metromonas_ASV_18427","Metromonas_simplex","Filosa-Metromonadea",0.0101432011440985,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Summer","",5.32
"TBS","Metromonas_ASV_18427","Metromonas_simplex","Filosa-Metromonadea",0.0101432011440985,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.92
"TBS","Navicula_ASV_10118","Navicula sp. Navicula_ASV_10118","Bacillariophyceae",0.0128753450688817,"PE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",10.35
"TBS","Navicula_ASV_10118","Navicula sp. Navicula_ASV_10118","Bacillariophyceae",0.0128753450688817,"wPE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",12.79
"TBS","Navicula_ASV_10118","Navicula sp. Navicula_ASV_10118","Bacillariophyceae",0.0128753450688817,"wPET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",7.39
"TBS","Navicula_ASV_9836","Navicula sp. Navicula_ASV_9836","Bacillariophyceae",0.00445255501471619,"wPE","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Summer","",8.81
"TBS","Navicula_ASV_9836","Navicula sp. Navicula_ASV_9836","Bacillariophyceae",0.00445255501471619,"PET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",5.82
"TBS","Naviculaceae_ASV_9674","Naviculaceae_ASV_9674","Bacillariophyceae",0.0140981907625539,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",5.08
"TBS","Naviculaceae_ASV_9674","Naviculaceae_ASV_9674","Bacillariophyceae",0.0140981907625539,"PET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.99
"TBS","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.86
"TBS","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",4.45
"TBS","OTU_ASV_17235","OTU_ASV_17235",NA,0.0162757430299401,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",8.6
"TBS","OTU_ASV_17235","OTU_ASV_17235",NA,0.0162757430299401,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",11.64
"TBS","Phaeophyceae_XX_ASV_10925","Phaeophyceae_XX_ASV_10925","Phaeophyceae",0.00526651100472068,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.81
"TBS","Phaeophyceae_XX_ASV_10925","Phaeophyceae_XX_ASV_10925","Phaeophyceae",0.00526651100472068,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.75
"TBS","Phaeophyceae_XX_ASV_8454","Phaeophyceae_XX_ASV_8454","Phaeophyceae",0.0332017107611982,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",7.08
"TBS","Phaeophyceae_XX_ASV_8454","Phaeophyceae_XX_ASV_8454","Phaeophyceae",0.0332017107611982,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",7.85
"TBS","Phaeophyceae_XX_ASV_8496","Phaeophyceae_XX_ASV_8496","Phaeophyceae",0.00708045937145494,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",4.4
"TBS","Phaeophyceae_XX_ASV_8496","Phaeophyceae_XX_ASV_8496","Phaeophyceae",0.00708045937145494,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",4.81
"TBS","Pleurosigma_ASV_10236","Pleurosigma_intermedium","Bacillariophyceae",0.00563354744695381,"PE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.07
"TBS","Pleurosigma_ASV_10236","Pleurosigma_intermedium","Bacillariophyceae",0.00563354744695381,"wPE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",3.13
"TBS","Pleurosigma_ASV_10236","Pleurosigma_intermedium","Bacillariophyceae",0.00563354744695381,"wPET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.1
"TBS","Pleurosigma_ASV_10260","Pleurosigma_intermedium","Bacillariophyceae",0.00525138082428398,"wPE","Multi-substrate (2 substrates)","consistent",3,0,3,"Winter, Summer, Fall","",4.49
"TBS","Pleurosigma_ASV_10260","Pleurosigma_intermedium","Bacillariophyceae",0.00525138082428398,"wPET","Multi-substrate (2 substrates)","consistent",3,0,3,"Winter, Summer, Fall","",4.64
"TBS","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.6
"TBS","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",4.41
"TBS","Spirotrichea_ASV_12539","Spirotrichea_ASV_12539","Spirotrichea",0.0128991934202361,"wPE","Multi-substrate (3 substrates)","occasional",1,0,1,"Spring","",5.74
"TBS","Spirotrichea_ASV_12539","Spirotrichea_ASV_12539","Spirotrichea",0.0128991934202361,"PET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.18
"TBS","Spirotrichea_ASV_12539","Spirotrichea_ASV_12539","Spirotrichea",0.0128991934202361,"wPET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.4
"TBS","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"PE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.56
"TBS","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"wPE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.13
"TBS","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"PET","Multi-substrate (3 substrates)","occasional",1,0,1,"Fall","",5.27
