"OTU_Label","OTU_ID","Cluster","Division","Class","Order","Family","Genus","Species"
"Ephelota_ASV_662","ASV_662","C4","Alveolata","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota",NA
"Caenogastropoda_ASV_13678","ASV_13678","C3","Opisthokonta","Mollusca","Gastropoda","Caenogastropoda",NA,NA
"OTU_ASV_22251","ASV_22251","C3",NA,NA,NA,NA,NA,NA
"Suctoria_XX_ASV_12412","ASV_12412","C4","Alveolata","Phyllopharyngea","Suctoria","Suctoria_X","Suctoria_XX","Suctoria_XX_sp."
"Telonema-Group-1_ASV_18184","ASV_18184","C2","Telonemia","Telonemia_XX","Telonemia_XXX","Telonemia-Group-1","Telonema-Group-1","Telonema_subtile"
"Naviculaceae_ASV_9847","ASV_9847","C1","Stramenopiles","Bacillariophyceae","Naviculales","Naviculaceae",NA,NA
"Heribaudiella_ASV_10928","ASV_10928","C2","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Heribaudiella","Heribaudiella_fluviatilis"
"Ephelota_ASV_1009","ASV_1009","C3","Alveolata","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_sp."
"Bacillariophyceae_ASV_6651","ASV_6651","C2","Stramenopiles","Bacillariophyceae",NA,NA,NA,NA
"Ephelota_ASV_2990","ASV_2990","C3","Alveolata","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_truncata"
"Pseudovorticella_ASV_29499","ASV_29499","C2","Alveolata","Oligohymenophorea","Peritrichia_2","Sessilida","Pseudovorticella","Pseudovorticella_sinensis"
"Hiatella_ASV_13195","ASV_13195","C4","Opisthokonta","Mollusca","Bivalvia","Heteroconchia","Hiatella","Hiatella_arctica"
"Saccharina_ASV_10960","ASV_10960","C4","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Saccharina","Saccharina_japonica"
"Navicula_ASV_10502","ASV_10502","C1","Stramenopiles","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_cryptotenella"
"Spirotrichea_ASV_33143","ASV_33143","C2","Alveolata","Spirotrichea",NA,NA,NA,NA
