"site","OTU_Label","display_label","Class","abund_weight","substrate_label","ever_higher","ever_lower","n_higher","n_lower","n_sig","n_conditions_tested","prop_sig","mean_estimate","seasons_higher","seasons_lower","is_mixed","is_higher","is_lower","consistency"
"SELVA","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"PE",TRUE,FALSE,1,0,1,5,0.2,2.31,"Winter","",FALSE,TRUE,FALSE,"occasional"
"SELVA","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"PET",TRUE,FALSE,1,0,1,5,0.2,5.46,"Winter2","",FALSE,TRUE,FALSE,"occasional"
"SELVA","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"wPET",TRUE,FALSE,2,0,2,5,0.4,4.22,"Winter, Winter2","",FALSE,TRUE,FALSE,"moderate"
"SELVA","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"PE",TRUE,FALSE,2,0,2,5,0.4,4.2,"Winter, Spring","",FALSE,TRUE,FALSE,"moderate"
"SELVA","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"PET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"wPET",TRUE,FALSE,1,0,1,5,0.2,2.85,"Winter","",FALSE,TRUE,FALSE,"occasional"
"SELVA","OTU_ASV_13187","OTU_ASV_13187",NA,0.0130696671042305,"PE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_13187","OTU_ASV_13187",NA,0.0130696671042305,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_13187","OTU_ASV_13187",NA,0.0130696671042305,"PET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_13187","OTU_ASV_13187",NA,0.0130696671042305,"wPET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"PE",TRUE,FALSE,2,0,2,5,0.4,4.6,"Winter, Spring","",FALSE,TRUE,FALSE,"moderate"
"SELVA","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"PET",TRUE,FALSE,1,0,1,5,0.2,5.89,"Spring","",FALSE,TRUE,FALSE,"occasional"
"SELVA","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"wPET",TRUE,FALSE,2,0,2,5,0.4,3.15,"Winter, Winter2","",FALSE,TRUE,FALSE,"moderate"
"SELVA","OTU_ASV_14103","OTU_ASV_14103",NA,0.0060654511777465,"PE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_14103","OTU_ASV_14103",NA,0.0060654511777465,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
