"OTU_Label","Term","Estimate","SE","z","p_raw","p_BH","lower","upper","sig_BH","CI_excl_zero","extreme_estimate","reliable","sig_any","predictor_type","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species","mean_rel_abund","abund_weight"
"Gastrotricha_XX_ASV_16593","seasonSpring:substrateWeathered_PET",0.621416077669075,91.8442450946125,0.00676597730243119,0.994601572360286,0.999999999999916,-179.393304307771,180.63613646311,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Gastrotricha","Gastrotricha_X","Gastrotricha_XX",NA,NA,0.00133278356538997,0.0118513161628172
"Phaeophyceae_XX_ASV_8496","seasonSpring:substrateWeathered_PET",0.503407496563741,1114.0915547101,0.000451854692224763,0.999639472129616,0.999999999999916,-2183.11603973524,2184.12285472837,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA,0.000796259230286476,0.00708045937145494
"Bacillariaceae_ASV_10164","seasonSpring:substrateWeathered_PET",0.638290561717901,116.417559706698,0.00548276877926328,0.995625405357853,0.999999999999916,-227.540126463409,228.816707586845,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae",NA,NA,0.000737566940423028,0.00655855851556622
"Ephelota_ASV_1020","seasonSpring:substrateWeathered_PET",6.29729368836741,27.925267364713,0.225505224573958,0.82158626141632,0.999999999999916,-48.43623034647,61.0308177232049,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_sp.",0.00084556894185119,0.00751892890006123
"Dino-Group-I-Clade-1_X_ASV_21077","seasonSpring:substrateWeathered_PET",-3.61802481173243,12.3113136338977,-0.293878047405977,0.768851093422712,0.999999999999916,-27.7481995341719,20.512149910707,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00120895851696772,0.010750244814223
"Halomonhystera_ASV_27080","seasonSpring:substrateWeathered_PET",7.52582277687101,266.771418079666,0.0282107537270862,0.977494060404815,0.999999999999916,-515.346156659274,530.397802213016,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Halomonhystera","Halomonhystera_disjuncta",0.00119579484117117,0.0106331913872593
"Metromonas_ASV_18427","seasonSpring:substrateWeathered_PET",0.731280734895728,1.15745332741358,0.631801488298308,0.527516601003718,0.999999999999916,-1.53732778683489,2.99988925662634,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Metromonadea","Metromonadida","Metromonadidae","Metromonas","Metromonas_simplex",0.00114069117721399,0.0101432011440985
"Loxophyllum_ASV_6533","seasonSpring:substrateWeathered_PET",2.00029135487745,19.3948007184554,0.103135442529917,0.917855475927427,0.999999999999916,-36.0135180532952,40.0141007630501,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Alveolata","Ciliophora","Litostomatea","Haptoria_5","Pleurostomatida","Loxophyllum","Loxophyllum_rostratum",0.000859891646669043,0.00764628859109509
"MAST-3I_ASV_9358","seasonSpring:substrateWeathered_PET",4.31256344551925,183.57150154006,0.0234925541782864,0.981257377752364,0.999999999999916,-355.487579572998,364.112706464036,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Bigyra","Opalozoa","Nanomonadea","MAST-3","MAST-3I","MAST-3I_sp.",0.000846933561403804,0.00753106330671206
"Bacillariophyceae_ASV_10160","seasonSpring:substrateWeathered_PET",-1.71865023036966,49.1027251889208,-0.0350011170206383,0.972078850166705,0.999999999999916,-97.9599916006544,94.5226911399151,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae",NA,NA,NA,NA,0.000795888416121179,0.00707716203494456
